NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY
stdlib,go1.20.12,Not Fixed,go-module,CVE-2024-24787,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2024-24785,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2024-24784,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2024-24783,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2023-45290,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2023-45289,Unknown
stdlib,go1.20.12,Not Fixed,go-module,CVE-2023-45288,Unknown
apt,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
bsdutils,1:2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
coreutils,9.1-1,(won't fix),deb,CVE-2016-2781,Low
coreutils,9.1-1,Not Fixed,deb,CVE-2017-18018,Negligible
gcc-12-base,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
gcc-12-base,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
gpgv,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
libapt-pkg6.0,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
libblkid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libgcc-s1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libgcc-s1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libgcrypt20,1.10.1-3,(won't fix),deb,CVE-2024-2236,Medium
libgcrypt20,1.10.1-3,Not Fixed,deb,CVE-2018-6829,Negligible
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28835,Medium
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28834,Medium
libgnutls30,3.7.9-2+deb12u2,Not Fixed,deb,CVE-2011-3389,Negligible
libmount1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libpam-modules,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-modules-bin,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-runtime,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam0g,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libsmartcols1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-0727,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6129,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-5678,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4741,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4603,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-2511,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6237,Unknown
libstdc++6,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libstdc++6,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libuuid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
mount,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
perl-base,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
redis,7.2.5,Not Fixed,binary,CVE-2022-0543,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29405,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29404,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29402,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24540,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24538,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45287,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45285,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-44487,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39323,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29403,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29400,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24539,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24537,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24536,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24534,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41725,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41724,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41723,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41722,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41715,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-32189,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30635,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30633,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30632,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30631,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30630,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30580,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-2880,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-2879,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-28131,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-27664,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39326,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39319,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39318,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29409,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29406,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24532,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41717,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-32148,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-1962,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-1705,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30629,Low
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24790,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24789,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24787,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24785,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24784,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24783,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45290,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45289,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45288,Unknown
tar,1.34+dfsg-1.2+deb12u1,Not Fixed,deb,CVE-2005-2541,Negligible
util-linux,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
util-linux-extra,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
zlib1g,1:1.2.13.dfsg-1,(won't fix),deb,CVE-2023-45853,Critical
coreutils,8.32-4.1ubuntu1.2,Not Fixed,deb,CVE-2016-2781,Low
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
gpgv,2.2.27-3ubuntu2.1,Not Fixed,deb,CVE-2022-3219,Low
guava,27.0-jre,32.0.0-android,java-archive,GHSA-7g45-4rm6-3mm3,Medium
guava,27.0-jre,32.0.0-android,java-archive,GHSA-5mg8-w23w-74h3,Low
jackson-databind,2.13.2.2,2.13.4,java-archive,GHSA-rgv9-q543-rqg4,High
jackson-databind,2.13.2.2,2.13.4.2,java-archive,GHSA-jjjh-jjxp-wpff,High
libc-bin,2.35-0ubuntu3.8,Not Fixed,deb,CVE-2016-20013,Negligible
libc6,2.35-0ubuntu3.8,Not Fixed,deb,CVE-2016-20013,Negligible
libelf1,0.186-1build1,Not Fixed,deb,CVE-2024-25260,Low
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libgcrypt20,1.9.4-3ubuntu3,Not Fixed,deb,CVE-2024-2236,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
liblzma5,5.2.5-2ubuntu1,Not Fixed,deb,CVE-2020-22916,Medium
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libpcre2-8-0,10.39-3ubuntu0.1,Not Fixed,deb,CVE-2022-41409,Low
libpcre3,2:8.39-13ubuntu0.22.04.1,Not Fixed,deb,CVE-2017-11164,Negligible
libpng16-16,1.6.37-3build5,Not Fixed,deb,CVE-2022-3857,Low
libpython3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2024-0450,Medium
libpython3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-6597,Medium
libpython3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-27043,Medium
libpython3.10-stdlib,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2024-0450,Medium
libpython3.10-stdlib,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-6597,Medium
libpython3.10-stdlib,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-27043,Medium
libssl3,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2022-40735,Medium
libssl3,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-4741,Low
libssl3,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-4603,Low
libssl3,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-2511,Low
libstdc++6,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libstdc++6,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libsystemd0,249.11-0ubuntu3.12,Not Fixed,deb,CVE-2023-7008,Low
libtasn1-6,4.18.0-4build1,Not Fixed,deb,CVE-2021-46848,Low
libtinfo6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libtinfo6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libudev1,249.11-0ubuntu3.12,Not Fixed,deb,CVE-2023-7008,Low
libxtables12,1.8.7-1ubuntu5.2,Not Fixed,deb,CVE-2020-0347,Low
libzstd1,1.4.8+dfsg-3build1,Not Fixed,deb,CVE-2022-4899,Low
locales,2.35-0ubuntu3.8,Not Fixed,deb,CVE-2016-20013,Negligible
logback-classic,1.2.9,1.2.13,java-archive,GHSA-vmq6-5m68-f53m,High
logback-core,1.2.9,1.2.13,java-archive,GHSA-vmq6-5m68-f53m,High
login,1:4.8.1-2ubuntu2.2,Not Fixed,deb,CVE-2023-29383,Low
ncurses-base,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
ncurses-base,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
ncurses-bin,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
ncurses-bin,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
openssl,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2022-40735,Medium
openssl,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-4741,Low
openssl,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-4603,Low
openssl,3.0.2-0ubuntu1.15,Not Fixed,deb,CVE-2024-2511,Low
passwd,1:4.8.1-2ubuntu2.2,Not Fixed,deb,CVE-2023-29383,Low
python3.10,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2024-0450,Medium
python3.10,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-6597,Medium
python3.10,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-27043,Medium
python3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2024-0450,Medium
python3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-6597,Medium
python3.10-minimal,3.10.12-1~22.04.3,Not Fixed,deb,CVE-2023-27043,Medium
snakeyaml,1.26,2.0,java-archive,GHSA-mjmj-j48q-9wg2,High
snakeyaml,1.26,1.31,java-archive,GHSA-3mc7-4q67-w48m,High
snakeyaml,1.26,1.32,java-archive,GHSA-w37g-rhq8-7m4j,Medium
snakeyaml,1.26,1.31,java-archive,GHSA-hhhw-99gj-p3c3,Medium
snakeyaml,1.26,1.31,java-archive,GHSA-c4r9-r8fh-9vj2,Medium
snakeyaml,1.26,1.32,java-archive,GHSA-9w3m-gqgf-c4p9,Medium
snakeyaml,1.26,1.31,java-archive,GHSA-98wm-3w3q-mw94,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29405,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29404,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29402,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24540,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24538,Critical
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45287,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45285,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-44487,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39323,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29403,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29400,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24539,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24537,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24536,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24534,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41725,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41724,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41723,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41722,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41715,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-32189,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30635,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30633,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30632,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30631,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30630,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30580,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-2880,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-2879,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-28131,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-27664,High
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39326,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39319,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-39318,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29409,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-29406,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-24532,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-41717,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-32148,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-1962,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-1705,Medium
stdlib,go1.18.2,Not Fixed,go-module,CVE-2022-30629,Low
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24790,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24789,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24787,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24785,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24784,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2024-24783,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45290,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45289,Unknown
stdlib,go1.18.2,Not Fixed,go-module,CVE-2023-45288,Unknown
wget,1.21.2-2ubuntu1,Not Fixed,deb,CVE-2021-31879,Medium
coreutils,8.32-4.1ubuntu1.2,Not Fixed,deb,CVE-2016-2781,Low
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2023-39130,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2023-39129,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2023-39128,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2023-1972,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2022-4285,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
gdb,12.1-0ubuntu1~22.04,Not Fixed,deb,CVE-2021-3530,Low
gpgv,2.2.27-3ubuntu2.1,Not Fixed,deb,CVE-2022-3219,Low
libarchive13,3.6.0-1ubuntu1,3.6.0-1ubuntu1.1,deb,CVE-2024-26256,Medium
libarchive13,3.6.0-1ubuntu1,Not Fixed,deb,CVE-2022-36227,Low
libatomic1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libatomic1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libc++1-14,1:14.0.0-1ubuntu1.1,Not Fixed,deb,CVE-2023-29942,Low
libc++1-14,1:14.0.0-1ubuntu1.1,Not Fixed,deb,CVE-2023-29935,Low
libc++abi1-14,1:14.0.0-1ubuntu1.1,Not Fixed,deb,CVE-2023-29942,Low
libc++abi1-14,1:14.0.0-1ubuntu1.1,Not Fixed,deb,CVE-2023-29935,Low
libc-bin,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33602,Medium
libc-bin,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33601,Medium
libc-bin,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33600,Medium
libc-bin,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33599,Medium
libc-bin,2.35-0ubuntu3.7,Not Fixed,deb,CVE-2016-20013,Negligible
libc6,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33602,Medium
libc6,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33601,Medium
libc6,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33600,Medium
libc6,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33599,Medium
libc6,2.35-0ubuntu3.7,Not Fixed,deb,CVE-2016-20013,Negligible
libc6-dbg,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33602,Medium
libc6-dbg,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33601,Medium
libc6-dbg,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33600,Medium
libc6-dbg,2.35-0ubuntu3.7,2.35-0ubuntu3.8,deb,CVE-2024-33599,Medium
libc6-dbg,2.35-0ubuntu3.7,Not Fixed,deb,CVE-2016-20013,Negligible
libdebuginfod-common,0.186-1build1,Not Fixed,deb,CVE-2024-25260,Low
libdebuginfod1,0.186-1build1,Not Fixed,deb,CVE-2024-25260,Low
libdw1,0.186-1build1,Not Fixed,deb,CVE-2024-25260,Low
libelf1,0.186-1build1,Not Fixed,deb,CVE-2024-25260,Low
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libgcrypt20,1.9.4-3ubuntu3,Not Fixed,deb,CVE-2024-2236,Medium
libglib2.0-0,2.72.4-0ubuntu2.2,2.72.4-0ubuntu2.3,deb,CVE-2024-34397,Medium
libglib2.0-data,2.72.4-0ubuntu2.2,2.72.4-0ubuntu2.3,deb,CVE-2024-34397,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5support0,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
liblzma5,5.2.5-2ubuntu1,Not Fixed,deb,CVE-2020-22916,Medium
libncurses5,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncurses5,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncurses6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-50495,Low
libncursesw6,6.3-2ubuntu0.1,Not Fixed,deb,CVE-2023-45918,Low
